,sex,age,priors_count,c_charge_degree,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
5352,1,0.4592361740283441,-0.6927874630415009,1,0,0,1,0,0,0
6025,1,-0.8214060487337072,-0.48138430431501034,0,0,0,0,0,0,1
4996,1,0.1177315812917971,1.6326472829498946,1,0,0,1,0,0,0
1158,1,-0.9921583451019806,-0.48138430431501034,1,0,0,1,0,0,0
6041,1,-0.4799014559971601,-0.6927874630415009,1,0,0,1,0,0,0
6134,1,1.6545022486062586,3.746678870214799,0,1,0,0,0,0,0
5137,1,-0.39452530781302336,0.1528251718644611,1,1,0,0,0,0,0
3455,1,-0.9921583451019806,-0.6927874630415009,1,0,0,0,1,0,0
6341,1,-1.0775344932861173,0.1528251718644611,1,0,0,1,0,0,0
414,1,1.5691261004221218,1.6326472829498946,0,1,0,0,0,0,0
3950,1,1.6545022486062586,-0.6927874630415009,0,0,0,0,0,0,1
1064,1,0.800740766764891,-0.05857798686202939,0,0,0,1,0,0,0
5268,1,0.6299884703966175,-0.48138430431501034,1,0,0,0,1,0,0
55,1,-0.9067821969178439,-0.2699811455885199,0,1,0,0,0,0,0
2929,1,-0.39452530781302336,-0.6927874630415009,1,1,0,0,0,0,0
6239,1,-0.4799014559971601,-0.48138430431501034,1,0,0,1,0,0,0
525,1,-0.8214060487337072,0.1528251718644611,0,0,0,1,0,0,0
2766,0,-0.39452530781302336,1.2098409654969136,0,1,0,0,0,0,0
2205,1,0.5446123222124808,-0.6927874630415009,0,0,0,0,1,0,0
6996,0,0.6299884703966175,-0.6927874630415009,0,0,0,0,0,0,1
5006,1,-0.22377301144474987,-0.6927874630415009,1,0,0,0,0,0,1
3665,1,-0.7360299005495704,-0.48138430431501034,0,0,0,0,1,0,0
2680,1,1.7398783967903952,-0.48138430431501034,0,0,0,1,0,0,0
3728,1,0.4592361740283441,-0.6927874630415009,1,0,0,1,0,0,0
4945,1,-0.39452530781302336,-0.05857798686202939,0,1,0,0,0,0,0
5143,1,-0.13839686326061312,-0.48138430431501034,0,1,0,0,0,0,0
5910,1,-1.2482867896543908,-0.2699811455885199,0,0,0,0,1,0,0
2824,1,-0.8214060487337072,-0.48138430431501034,1,1,0,0,0,0,0
1250,1,1.9106306931586687,-0.6927874630415009,1,0,0,1,0,0,0
992,1,0.1177315812917971,0.36422833059095155,0,1,0,0,0,0,0
3316,1,-0.7360299005495704,4.38088834639427,1,1,0,0,0,0,0
6454,1,-0.7360299005495704,1.421244124223404,0,1,0,0,0,0,0
3579,1,-1.1629106414702541,-0.48138430431501034,0,1,0,0,0,0,0
6032,1,-0.8214060487337072,-0.48138430431501034,1,1,0,0,0,0,0
6753,1,-0.9921583451019806,-0.48138430431501034,0,1,0,0,0,0,0
5136,1,-1.1629106414702541,-0.2699811455885199,1,1,0,0,0,0,0
5601,1,-0.8214060487337072,-0.6927874630415009,0,1,0,0,0,0,0
1315,1,-0.6506537523654337,0.1528251718644611,0,1,0,0,0,0,0
1522,1,1.825254544974532,-0.6927874630415009,0,0,0,1,0,0,0
908,1,-0.5652776041812969,-0.48138430431501034,0,0,0,0,1,0,0
