,decile_score
5352,0
6025,0
4996,1
1158,0
6041,0
6134,1
5137,0
3455,0
6341,1
414,1
3950,0
1064,0
5268,0
55,0
2929,0
6239,1
525,0
2766,1
2205,0
6996,0
5006,0
3665,0
2680,0
3728,0
4945,0
5143,0
5910,1
2824,1
1250,0
992,0
3316,1
6454,1
3579,0
6032,0
6753,0
5136,1
5601,0
1315,0
1522,0
908,0
6832,1
219,0
7022,1
5894,0
3169,0
6666,1
862,1
4907,0
5686,1
1380,0
3239,0
4681,0
5382,0
570,0
3676,0
534,0
3474,0
1925,0
6888,1
34,0
921,0
6166,0
6046,0
2232,0
1312,1
116,0
6881,0
3278,0
3914,0
6342,1
2340,1
6619,0
5316,1
2257,0
1007,1
1992,1
1055,1
2536,0
128,0
3327,0
4369,0
6049,0
3434,0
6219,1
1889,0
4355,0
7054,1
5481,1
2961,0
5701,1
2481,0
2032,0
3765,1
6790,1
4800,0
1291,0
1326,0
2278,0
5224,0
943,1
4420,1
1626,0
6989,1
5898,1
7111,1
5054,0
6546,1
6785,1
6806,1
1805,1
3633,1
5720,0
2823,1
4398,0
2375,1
4537,0
5938,1
3525,1
3708,0
2859,0
4886,0
2221,1
6001,1
1420,0
6779,0
2323,0
3315,0
5956,0
5266,0
3456,1
7178,1
610,0
966,0
5982,0
2750,0
519,0
741,0
3040,1
6412,1
1079,0
4173,1
7109,0
1247,0
3546,1
3529,1
1387,0
4034,0
6078,0
1108,0
5727,0
6620,0
15,0
1322,0
5545,1
3179,1
5916,0
758,0
3145,1
3974,1
5575,0
4583,1
1551,0
1979,1
4805,0
6605,0
4585,0
3068,1
2590,0
6569,0
771,0
510,0
2040,1
5674,0
3128,0
7048,0
2934,1
6716,0
4506,1
977,0
1284,1
7062,1
5236,0
5722,1
2714,1
4994,0
1002,0
4319,0
3418,0
6410,0
4717,0
6320,0
6791,1
2484,1
818,0
6171,1
3305,1
224,1
347,1
5881,0
3375,1
6843,0
3500,1
4533,0
1571,0
2567,0
2898,1
3164,0
2625,0
2661,0
3687,0
248,0
3385,0
1763,0
5518,1
4665,1
84,1
6833,0
5243,0
3231,1
3245,0
6855,0
5630,0
6056,0
6738,1
4463,1
1450,0
4473,1
3058,0
1922,0
7061,0
1622,0
6995,0
5899,1
133,0
6107,0
5842,0
1690,1
5262,0
4953,1
1741,0
3650,1
2306,0
597,1
5520,1
6179,0
4979,0
5205,0
3022,1
2186,1
6641,0
305,1
2252,1
420,0
3420,1
3141,1
4007,0
539,1
4059,1
564,0
1317,0
932,1
5070,1
3907,0
5453,1
30,1
3800,1
2932,1
6177,0
2450,0
1514,0
1507,1
273,0
3742,0
5494,0
2194,0
4426,0
6188,1
5663,0
5131,1
4522,1
4782,1
5931,0
718,0
2649,1
5482,0
5132,1
4432,0
3781,1
5826,0
7094,0
5324,0
240,0
408,0
2741,0
976,1
5226,0
3758,0
462,1
3644,0
5455,1
6869,0
3870,0
3142,0
4139,1
4235,0
2556,0
3913,0
1949,1
3118,0
7006,0
5921,0
6984,1
797,0
4338,0
2822,0
1991,0
71,0
1965,0
5473,0
4974,1
3069,0
2209,1
923,1
3543,0
5200,1
6539,1
3848,0
5772,0
5917,0
1598,0
2005,0
5272,0
7179,0
4872,1
1958,0
860,0
5643,0
5457,1
5036,1
6113,0
6067,0
2836,1
1818,1
622,1
3340,1
3188,0
2861,0
1725,0
3541,0
3791,0
6147,0
6606,0
2277,0
937,0
1003,1
4804,0
7121,0
6932,1
1673,0
5617,1
1722,0
2031,1
262,0
5735,1
1515,1
1319,0
687,0
5818,0
1841,0
49,0
4421,1
4091,0
3743,1
5270,0
3786,1
2860,1
6809,1
4728,0
7093,0
3869,1
6304,0
1442,0
4810,1
4708,0
1268,0
844,0
6854,0
5223,1
1770,0
2829,0
788,1
417,0
3989,0
3268,0
5760,1
3575,0
1049,0
1481,0
2098,0
111,0
6452,0
6638,1
2786,1
982,0
1877,1
6271,0
3195,0
3356,0
5980,1
3255,1
4459,0
4964,0
5485,1
387,0
7091,1
2990,0
5948,0
402,0
3282,0
399,0
971,0
5468,1
6208,0
2802,0
4170,1
2792,0
858,1
4724,1
352,1
220,0
5672,0
5215,0
2460,1
629,1
3512,0
6931,0
2604,0
5341,0
775,1
1475,0
3106,1
5209,0
3082,1
3227,1
1050,0
508,0
4966,1
2506,1
5633,0
1688,1
6534,1
1440,1
3733,0
2660,0
3806,0
2091,0
2383,1
4167,1
3581,0
3526,0
5119,0
3654,1
3762,0
5579,1
6905,0
6520,1
6077,0
5953,1
2093,0
1944,0
2870,0
6038,0
1657,0
5208,0
3766,0
6019,1
4336,0
2464,1
228,0
6514,0
1333,1
3324,0
3147,1
2396,1
3334,1
367,0
2459,0
1519,1
81,0
4483,0
1533,0
4651,0
4983,0
2270,0
2201,1
1573,0
968,1
2736,0
1711,1
2410,0
4013,1
286,0
108,0
5833,1
6217,0
6087,0
2698,1
3235,0
2317,0
4250,0
1184,0
2538,1
5645,1
2835,0
2480,0
1769,0
1126,0
4745,0
6247,1
5706,1
1803,1
3485,0
5304,0
5918,1
486,1
1651,1
2888,0
6934,0
3502,0
2100,0
4106,1
6933,1
2000,0
5755,0
1223,0
3378,0
5038,0
2945,0
7068,0
1088,1
6585,0
6137,0
6731,0
748,1
7126,0
586,0
1098,0
491,0
4617,0
5806,0
4511,0
4341,0
3707,0
888,0
2524,0
2307,1
1235,0
5125,1
3662,0
4702,1
6395,1
704,0
5660,0
5332,0
2696,0
1265,0
1938,0
6810,1
3754,1
5283,0
3990,0
769,1
5816,1
1998,0
5553,0
5774,0
6459,0
3862,0
6758,1
3089,0
5993,1
2966,0
86,1
5046,0
4442,0
3626,1
6070,0
5096,1
3392,1
5584,0
4281,1
5135,0
127,0
1196,0
1218,0
3208,1
965,1
7074,1
2400,0
112,0
3817,0
5517,0
4224,1
1628,1
1416,0
735,1
6560,1
1660,1
667,1
639,0
2155,0
1566,1
2866,1
3132,1
59,0
7210,0
5090,0
3115,0
4350,0
1833,0
874,1
5767,0
6512,0
1724,1
2765,1
232,0
2216,1
5312,1
4664,0
936,1
1904,0
6842,0
5021,0
734,1
3150,1
5709,0
4469,0
6024,0
2352,0
5528,0
760,1
6361,0
